mep_id,activities,income
124800,Ministro della Repubblica (EUR                                                                             10000 11.000),11000
124776,Ministre                                                                                                 10000,11000
124755,Consultant Losberger Dubai via MWD                                                                       10000 Dubaï,10000
124755,Consultant international                                                                                 10000,10000
124755,Consultant ICTS Dubai via MWD Dubaï                                                                      10000,10001
124787,Assessore Regione Liguria                                                                                  10000,10000
124788,Università Cattolica del Sacro                                                                           10000 Cuore di Milano - Direttore della Sede di Brescia (La decina di migliaia più prossima è: 10),10000
124806,07/2010–02/2013                                                                       10000 Niedersächsischer Ministerpräsident,10000
124736,liikenneministeri                                                                                       10000,10000
124851,Consigliere regionale Campania                                                                           10000,10000
183793,Consigliere Regionale                                                                                      10000,10000
124772,Assessore Regione Piemonte                                                                                 10000,10000
38511,Landtag Steiermark                                                                                  10000,10000
1185,2010-2014 : Vice-présidente de                                                                           20000 la Commission européenne,20000
125192,Giornalista                                                                                                20000,20000
124903,Indywidualna         dzia?alno??                                                                     10000 gospodarcza,10000
125012,Societatea profesional? notarial? 10000 Autentica,10000
2002,Embajador Jefe de la Delegación                                                                        10000 de la UE en Argentina (septiembre 2015 - enero 2017) (El múltiplo más próximo a 10.000 euros),10000
124853,Parlamentare Regione Sicilia                                                                               10000,10000
124847,Assessore Regione Puglia Anno                                                                              10000 2011,10000
124847,Assessore Regione Puglia Anno                                                                              10000 2012,10000
124990,Kreab Gavin Anderson                                                                                10000 Communications Public Affairs,10000
124990,Adaktusson Media AB (own                                                                            10000 business),10000
23781,Komisarz UE                                                                                            20000,20000
124763,UAB „Anupriškių parkas“ -                                                              40000 akcininkas (akcijos perleistos 2017 m.),40000
124763,Ibus media LTD (akcijos                                                           20000 perleistos 2014 m.),20000
97058,SOFINA: Bestuurder (12000€)                                                           10000,10000
97058,Sofina: Bestuurder (12000€)                                                                           10000,10000
4525,Broadcast contracts                                                                                  30000,30000
124860,Consigliere TISCALI SPA                                                                     30000,30000
124860,Presidente e CEO TISCALI SPA                                                                               30000,30000
124763,DALYVAUJU                   POKERIO                                                30000 TURNYRUOSE,30000
124763,ICO projektai                                                                       200000,200000
72775,Avocat (16 000 euros brut mensuel)                                                                       20000,20000
72775,Avocat (16 000 euros brut                                                                                20000 mensuel),20000
197548,"Działalność   gospodarcza                                                                    40000 Sikorski    Global,   w    tym członek Rady Doradczej Counter Extremism Project oraz United Against Nuclear Iran i inne doradztwo",40000
197548,"Działalność gospodarcza Sikorski Global,                                              40000 w tym członek Rady Doradczej Counter Extremism Project i inne doradztwo",40000
197675,Unternehmerin Gastronomisch                                                                         30000 Chefin,30000
197675,"Selbständige gewerbliche                                                                         30000 Tätigkeít (Reden, Showkochen, Bücher etc.)",30000
197675,VORTRÄGE                                                                             30000,30000
97058,Sofina: Bestuurder                                                                                       10000,10000
97058,SOFINA: Bestuurder                                                                        10000,10000
197513,Wspólnik spółki jawnej                                                                                 10000,10000
197513,Wspólnik spółki jawnej                                                              10000,10000
197558,Farmer                                                                                                 20000,20000
197558,Farmer                                                                                             20000,20000
197642,Chief Executive and Director of First                                                 40000 Property Group plc,40000
197642,Chief Executive and Director of First                                                   40000 Property Group plc,40000